Index,Model,BLEU_Score,ROUGE-L_Score,METEOR_Score
CPP_38,GPT4,0.3215,0.5873,0.4732
CPP_10,GPT4,0.4639,0.7153,0.6834
CPP_103,GPT4,0.1701,0.3852,0.4341
CPP_103,GPT35,0.2097,0.4,0.4625
CPP_117,GPT4,0.1888,0.3906,0.5445
CPP_113,GPT4,0.2103,0.4151,0.5797
CPP_107,GPT4,0.1711,0.3883,0.4103
CPP_107,GPT35,0.1857,0.3333,0.4248
CPP_28,GPT4,0.2648,0.5882,0.6303
CPP_28,GPT35,0.2513,0.4348,0.5903
CPP_14,GPT4,0.3227,0.5072,0.5556
CPP_14,GPT35,0.2086,0.4065,0.4233
CPP_15,GPT4,0.11,0.3652,0.4394
CPP_15,GPT35,0.1674,0.3908,0.543
CPP_29,GPT4,0.2613,0.4754,0.5569
CPP_29,GPT35,0.268,0.4583,0.5493
CPP_106,Gemma,0.2521,0.3455,0.4385
CPP_106,GPT4,0.1659,0.3871,0.3898
CPP_106,GPT35,0.1651,0.3519,0.4047
CPP_106,MetaLlama,0.1887,0.3656,0.381
CPP_112,GPT4,0.3374,0.4742,0.5222
CPP_104,GPT4,0.1426,0.3262,0.4951
CPP_110,GPT4,0.3305,0.5057,0.5918
CPP_110,GPT35,0.2762,0.3789,0.5037
CPP_138,Gemma,0.4263,0.5542,0.6453
CPP_138,GPT4,0.3781,0.6098,0.6681
CPP_138,GPT35,0.2515,0.475,0.5398
CPP_138,MetaLlama,0.3179,0.5412,0.6127
CPP_17,GPT4,0.3611,0.5897,0.5968
CPP_17,GPT35,0.2153,0.3542,0.5268
CPP_16,Gemma,0.1501,0.3656,0.5296
CPP_16,GPT4,0.5383,0.8158,0.8203
CPP_16,GPT35,0.3423,0.65,0.7298
CPP_139,Gemma,0.4491,0.6129,0.6469
CPP_139,GPT4,0.6128,0.7714,0.8779
CPP_139,GPT35,0.1658,0.4,0.5105
CPP_139,MetaLlama,0.353,0.5846,0.6133
CPP_111,GPT4,0.1728,0.44,0.4141
CPP_105,GPT4,0.319,0.4242,0.469
